new_context,original_context,citation_intent,section
Model performans ölçütlerinin belirlenmesi için Tablo-2'deki veriler referans alınmıştır <CITE>.,Tablo-2'deki verileri kullanılması ile model performans ölçütlerinin hesaplanması aşağıdaki gibidir <CITE> :,basis,synthetic-augmentation
"Önceki araştırmalar, RF algoritmasının sahte web sayfalarını tespit etmede kayda değer bir başarı gösterdiğini ortaya koymuştur <CITE>.",Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE>.,support,synthetic-augmentation
"Çeşitli çalışmaların bulguları, RF algoritmasının sahte web sayfası algılamasında yüksek bir performans sergilediğini doğrulamaktadır <CITE>.",Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE>.,support,synthetic-augmentation
"Literatürdeki kanıtlar, RF algoritmasının sahte web sayfalarının saptanmasında etkili olduğunu defalarca göstermiştir <CITE>.",Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE>.,support,synthetic-augmentation
"RF algoritmasının sahte web sayfalarını tespit etme konusundaki üstün yeteneği, mevcut literatürdeki çalışmalarla desteklenmektedir <CITE>.",Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE>.,support,synthetic-augmentation
"Çeşitli araştırmalar, RF algoritmasının sahte web sayfalarının saptanmasında kayda değer bir başarı sergilediğini göstermektedir <CITE> .",Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE> .,support,synthetic-augmentation
"Sahte web sayfalarının tespitinde, RF algoritmasının etkinliği önceki araştırmalarla da kanıtlanmıştır <CITE> .",Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE> .,support,synthetic-augmentation
"Literatürdeki bulgular, RF algoritmasının sahte web sayfalarının belirlenmesinde üstün performans gösterdiğini ortaya koymaktadır <CITE> .",Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE> .,support,synthetic-augmentation
"Benzer çalışmalar, RF algoritmasının sahte web sayfalarını tespit etmede yüksek doğrulukla çalıştığını belirtmektedir <CITE> .",Yapılan çalışmalar incelendiğinde benzer şekilde RF algoritmasının sahte web sayflarının tespit edilmesinde yüksek başarım sağladığı görülmektedir <CITE> .,support,synthetic-augmentation
"Bu yaklaşımın temel amacı, yinelemeli denemeleri azaltmak, en uygun tasarımı belirlemek ve hesaplama gücünden en iyi şekilde yararlanarak tasarım sürecine bilimsel bir zemin kazandırmaktır <CITE>.","Ayrıca bu yöntem, tekrarlayan denemeyanılma faaliyetlerini en aza indirmek, önerilen tasarımlar arasından en iyisini seçmek ve tasarım dünyası için bilimsel bir alt yapı oluşturarak bilgisayardan mümkün olduğu kadar fazla yararlanmayı da amaçlamaktadır <CITE> .",basis,synthetic-augmentation
"Söz konusu çalışmanın ardındaki temel felsefe, tekrarlayan denemeleri minimize etmek, en iyi tasarımı seçmek ve tasarımda bilgisayar destekli bilimsel bir çerçeve sunmaktır <CITE>.","Ayrıca bu yöntem, tekrarlayan denemeyanılma faaliyetlerini en aza indirmek, önerilen tasarımlar arasından en iyisini seçmek ve tasarım dünyası için bilimsel bir alt yapı oluşturarak bilgisayardan mümkün olduğu kadar fazla yararlanmayı da amaçlamaktadır <CITE> .",basis,synthetic-augmentation
"Geliştirilen bu yöntemin başlıca hedefi, deneme-yanılma süreçlerini en aza indirgemek, ideal tasarımları seçmek ve bilgisayarların katkısıyla tasarım için sağlam bir bilimsel temel oluşturmaktır <CITE>.","Ayrıca bu yöntem, tekrarlayan denemeyanılma faaliyetlerini en aza indirmek, önerilen tasarımlar arasından en iyisini seçmek ve tasarım dünyası için bilimsel bir alt yapı oluşturarak bilgisayardan mümkün olduğu kadar fazla yararlanmayı da amaçlamaktadır <CITE> .",basis,synthetic-augmentation
"Bu yöntemin geliştirilme gerekçesi, tekrarlayan süreçleri azaltarak, en iyi tasarımı seçerek ve tasarım alanına bilimsel bir temel sağlayarak bilgisayarın potansiyelinden maksimum düzeyde faydalanmaktır <CITE>.","Ayrıca bu yöntem, tekrarlayan denemeyanılma faaliyetlerini en aza indirmek, önerilen tasarımlar arasından en iyisini seçmek ve tasarım dünyası için bilimsel bir alt yapı oluşturarak bilgisayardan mümkün olduğu kadar fazla yararlanmayı da amaçlamaktadır <CITE> .",basis,synthetic-augmentation
"Genellikle karar ağacı algoritmaları, en uygun yapıyı oluşturmak için genelleştirme hatasını en aza indirmeyi amaçlar; bununla birlikte, düğüm sayısını veya ortalama derinliği minimize etmek gibi başka hedefler de benimsenebilir <CITE> .","Karar ağacı algoritmaları genellikle genelleştirme hatasını en aza indirgeyen en uygun karar ağacı yapısını oluşturmayı hedeflemek ile birlikte, düğüm sayısı, ortalama derinlik ya da başka amaç fonksiyonlarını en aza indirgemeyi hedeflemek de mümkündür <CITE> .",basis,synthetic-augmentation
"Karar ağaçlarının optimizasyonu, yaygın olarak genelleştirme hatasının düşürülmesine odaklansa da, düğüm sayısının veya ağaç derinliğinin azaltılması gibi farklı amaç fonksiyonları da kullanılabilir <CITE> .","Karar ağacı algoritmaları genellikle genelleştirme hatasını en aza indirgeyen en uygun karar ağacı yapısını oluşturmayı hedeflemek ile birlikte, düğüm sayısı, ortalama derinlik ya da başka amaç fonksiyonlarını en aza indirgemeyi hedeflemek de mümkündür <CITE> .",basis,synthetic-augmentation
"Optimum karar ağacı yapıları oluşturulurken, algoritmalar genellikle genelleştirme hatasını en aza indirmeyi hedefler; bunun yanında, düğüm sayısını veya ortalama derinliği düşürmek de amaçlanabilir <CITE> .","Karar ağacı algoritmaları genellikle genelleştirme hatasını en aza indirgeyen en uygun karar ağacı yapısını oluşturmayı hedeflemek ile birlikte, düğüm sayısı, ortalama derinlik ya da başka amaç fonksiyonlarını en aza indirgemeyi hedeflemek de mümkündür <CITE> .",basis,synthetic-augmentation
"Karar ağacı algoritmalarının temel amacı, genellikle en uygun yapıyı bulmak için genelleştirme hatasını düşürmektir; ancak, düğüm sayısını veya ortalama derinliği azaltmak gibi alternatif optimizasyon hedefleri de mevcuttur <CITE> .","Karar ağacı algoritmaları genellikle genelleştirme hatasını en aza indirgeyen en uygun karar ağacı yapısını oluşturmayı hedeflemek ile birlikte, düğüm sayısı, ortalama derinlik ya da başka amaç fonksiyonlarını en aza indirgemeyi hedeflemek de mümkündür <CITE> .",basis,synthetic-augmentation
"1. Bilgi kazancı, ki-kare istatistiği ve GINI indeksi gibi kriterler, karar ağaçlarında düğüm ayırma işlemlerinin temelini oluşturan başlıca yöntemlerdir <CITE>.","Bilgi kazancı, ki-kare istatistiği, GINI indeksi gibi ölçütler, başlıca kullanılan düğüm ayırma ölçütleri arasındadır <CITE> .",basis,synthetic-augmentation
"2. Düğüm ayırma için yaygın olarak tercih edilen ölçütler arasında bilgi kazancı, ki-kare istatistiği ve GINI indeksi bulunmaktadır <CITE>.","Bilgi kazancı, ki-kare istatistiği, GINI indeksi gibi ölçütler, başlıca kullanılan düğüm ayırma ölçütleri arasındadır <CITE> .",basis,synthetic-augmentation
"3. Karar ağaçlarında düğüm ayırma için kullanılan standart metrikler, bilgi kazancı, ki-kare istatistiği ve GINI indeksini içermektedir <CITE>.","Bilgi kazancı, ki-kare istatistiği, GINI indeksi gibi ölçütler, başlıca kullanılan düğüm ayırma ölçütleri arasındadır <CITE> .",basis,synthetic-augmentation
"4. GINI indeksi, bilgi kazancı ve ki-kare istatistiği, düğüm ayırma sürecinde başvurulan anahtar ölçütlerdir <CITE>.","Bilgi kazancı, ki-kare istatistiği, GINI indeksi gibi ölçütler, başlıca kullanılan düğüm ayırma ölçütleri arasındadır <CITE> .",basis,synthetic-augmentation
Bir ölçütü iyileştiren düğümleri budama tekniği <CITE> tarafından açıklanmıştır.,Budama ile bir ölçütü iyileştiren düğümler budanmaktadır <CITE> .,basis,synthetic-augmentation
"Bu çalışmada, bir ölçütü iyileştiren düğümlerin budanması için <CITE> yönteminden yararlanılmıştır.",Budama ile bir ölçütü iyileştiren düğümler budanmaktadır <CITE> .,basis,synthetic-augmentation
Düğümlerin budanarak bir ölçütün iyileştirilmesi prensibi <CITE> çalışmasına dayanmaktadır.,Budama ile bir ölçütü iyileştiren düğümler budanmaktadır <CITE> .,basis,synthetic-augmentation
Bir ölçütü iyileştiren düğümlerin budanmasına yönelik strateji <CITE> tarafından detaylandırılmıştır.,Budama ile bir ölçütü iyileştiren düğümler budanmaktadır <CITE> .,basis,synthetic-augmentation
"Karar ağaçları budama yöntemleri ele alındığında, maliyet-karmaşıklık ve azaltılmış hata budaması gibi yaklaşımların aşırı budama sonucu düşük doğruluklu küçük ağaçlar ürettiği; en düşük hata ve karamsar budama gibi tekniklerin ise yeterince budama yapmadığı literatürde tartışılmaktadır <CITE> .","Budama yöntemleri değerlendirildiğinde, maliyetkarmaşıklık budama yöntemi, azaltılmış hata budaması yöntemi gibi yaklaşımların gereğinden fazla budama yaparak, küçük ancak düşük doğruluk oranına sahip karar ağaçları oluşturduğu, en düşük hata budaması, karamsar budama ve hata tabanlı budama gibi yaklaşımların gereğinden az budama yaptıkları gözlenmektedir <CITE> .",discuss,synthetic-augmentation
"Literatürde belirtildiği üzere, maliyet-karmaşıklık budaması gibi tekniklerin gereğinden fazla budama yaparak karar ağaçlarının doğruluk oranını düşürdüğü; buna karşın, hata tabanlı budama gibi yöntemlerin ise ağaçları yeterince küçültemediği gözlemlenmiştir <CITE> .","Budama yöntemleri değerlendirildiğinde, maliyetkarmaşıklık budama yöntemi, azaltılmış hata budaması yöntemi gibi yaklaşımların gereğinden fazla budama yaparak, küçük ancak düşük doğruluk oranına sahip karar ağaçları oluşturduğu, en düşük hata budaması, karamsar budama ve hata tabanlı budama gibi yaklaşımların gereğinden az budama yaptıkları gözlenmektedir <CITE> .",discuss,synthetic-augmentation
"Çeşitli budama stratejileri incelendiğinde, bazı yöntemlerin (örneğin azaltılmış hata budaması) ağaçları aşırı derecede budayarak performansı olumsuz etkilediği, diğerlerinin (en düşük hata budaması gibi) ise yetersiz budama yaptığı ele alınmıştır <CITE> .","Budama yöntemleri değerlendirildiğinde, maliyetkarmaşıklık budama yöntemi, azaltılmış hata budaması yöntemi gibi yaklaşımların gereğinden fazla budama yaparak, küçük ancak düşük doğruluk oranına sahip karar ağaçları oluşturduğu, en düşük hata budaması, karamsar budama ve hata tabanlı budama gibi yaklaşımların gereğinden az budama yaptıkları gözlenmektedir <CITE> .",discuss,synthetic-augmentation
"Karar ağaçlarının budama sürecinde, bazı yaklaşımların (maliyet-karmaşıklık budaması gibi) fazla budama yaparak düşük doğruluklu modeller oluşturduğu, diğer yaklaşımların (karamsar budama gibi) ise yeterli sadeleştirmeyi sağlayamadığı ortaya konmuştur <CITE> .","Budama yöntemleri değerlendirildiğinde, maliyetkarmaşıklık budama yöntemi, azaltılmış hata budaması yöntemi gibi yaklaşımların gereğinden fazla budama yaparak, küçük ancak düşük doğruluk oranına sahip karar ağaçları oluşturduğu, en düşük hata budaması, karamsar budama ve hata tabanlı budama gibi yaklaşımların gereğinden az budama yaptıkları gözlenmektedir <CITE> .",discuss,synthetic-augmentation
"Bu çalışmanın veri tabanı, Polonyalı firmaların finansal raporları taranarak derlenmiştir <CITE>.","Çalışmada kullanılan veri seti, Polonyalı şirketlere ilişkin finansal veriler taranarak oluşturulmuştur <CITE> Çalışmada kullanılan algoritmaların değerlendirilmesinde, doğru sınıflandırma yüzdesi, ortalama mutlak hata, ortalama karesel hatanın karekökü, kesinlik, geri çağırma ve F-ölçütü kullanılmıştır.",basis,synthetic-augmentation
"Araştırmamız için gerekli veri seti, şirketlerin mali tablolarının detaylı incelemesiyle oluşturulmuştur <CITE>.","Çalışmada kullanılan veri seti, Polonyalı şirketlere ilişkin finansal veriler taranarak oluşturulmuştur <CITE> Çalışmada kullanılan algoritmaların değerlendirilmesinde, doğru sınıflandırma yüzdesi, ortalama mutlak hata, ortalama karesel hatanın karekökü, kesinlik, geri çağırma ve F-ölçütü kullanılmıştır.",basis,synthetic-augmentation
"Analizde kullanılan bilgi kaynağı, Polonyalı işletmelerin mali kayıtlarının taranmasıyla elde edilmiştir <CITE>.","Çalışmada kullanılan veri seti, Polonyalı şirketlere ilişkin finansal veriler taranarak oluşturulmuştur <CITE> Çalışmada kullanılan algoritmaların değerlendirilmesinde, doğru sınıflandırma yüzdesi, ortalama mutlak hata, ortalama karesel hatanın karekökü, kesinlik, geri çağırma ve F-ölçütü kullanılmıştır.",basis,synthetic-augmentation
"Çalışmanın temelini oluşturan veri, Polonyalı şirketlerin finansal dokümanlarının incelenmesiyle toplanmıştır <CITE>.","Çalışmada kullanılan veri seti, Polonyalı şirketlere ilişkin finansal veriler taranarak oluşturulmuştur <CITE> Çalışmada kullanılan algoritmaların değerlendirilmesinde, doğru sınıflandırma yüzdesi, ortalama mutlak hata, ortalama karesel hatanın karekökü, kesinlik, geri çağırma ve F-ölçütü kullanılmıştır.",basis,synthetic-augmentation
"Ortalama mutlak hata (MAE) değeri, <CITE> tarafından sunulan formül kullanılarak belirlenir.",Ortalama mutlak hata ölçütü aşağıda belirtilen formüle göre hesaplanmaktadır <CITE> :,basis,synthetic-augmentation
Ortalama mutlak hatanın hesaplama prensibi <CITE> tarafından ortaya konan formüle dayanmaktadır.,Ortalama mutlak hata ölçütü aşağıda belirtilen formüle göre hesaplanmaktadır <CITE> :,basis,synthetic-augmentation
Söz konusu ölçütün hesaplanmasında kullanılan formül <CITE> tarafından tanımlanmıştır.,Ortalama mutlak hata ölçütü aşağıda belirtilen formüle göre hesaplanmaktadır <CITE> :,basis,synthetic-augmentation
"Aşağıda gösterilen formül, ortalama mutlak hatanın belirlenmesi için <CITE> tarafından önerilmiştir.",Ortalama mutlak hata ölçütü aşağıda belirtilen formüle göre hesaplanmaktadır <CITE> :,basis,synthetic-augmentation
"Ortalama karesel hatanın karekökü, <CITE> tarafından belirtilen formül uyarınca hesaplanır.",Ortalama karesel hatanın karekökü aşağıda belirtilen formüle göre hesaplanmaktadır <CITE> :,basis,synthetic-augmentation
"<CITE>, ortalama karesel hatanın karekökünün hesaplanması için aşağıdaki formülü sunmaktadır.",Ortalama karesel hatanın karekökü aşağıda belirtilen formüle göre hesaplanmaktadır <CITE> :,basis,synthetic-augmentation
"Aşağıda verilen formül, ortalama karesel hatanın karekökünü <CITE> kaynağına dayanarak tanımlar.",Ortalama karesel hatanın karekökü aşağıda belirtilen formüle göre hesaplanmaktadır <CITE> :,basis,synthetic-augmentation
"Ortalama karesel hatanın karekökünün hesaplama yöntemi, <CITE>'de sunulan formülasyonu takip etmektedir.",Ortalama karesel hatanın karekökü aşağıda belirtilen formüle göre hesaplanmaktadır <CITE> :,basis,synthetic-augmentation
"Powell ve arkadaşları <CITE> , Kaliforniya eyaleti Marin ilçesinden elde edilen kadın topluluğu verilerini kullanarak BRCAPRO, IBIS ve Breast Cancer Risk Assessment Tool gibi meme kanseri risk değerlendirme modellerinin performansını analiz etmişlerdir.","Powell ve ark <CITE> , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO   ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"Meme kanseri riskini değerlendirmek için kullanılan modelleri ele alırken, Powell ve ark <CITE> Kaliforniya, Marin'deki kadın topluluğu verilerine odaklanarak BRCAPRO, IBIS ve Breast Cancer Risk Assessment Tool'u incelemişlerdir.","Powell ve ark <CITE> , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO   ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"Kaliforniya'nın Marin ilçesindeki kadın topluluğu verileri temel alınarak, Powell ve arkadaşları <CITE> Breast Cancer Risk Assessment Tool, BRCAPRO ve IBIS gibi meme kanseri risk değerlendirme modellerinin karşılaştırmalı bir analizini sunmuşlardır.","Powell ve ark <CITE> , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO   ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"Powell ve ark <CITE> , Marin ilçesindeki kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool, BRCAPRO ve International Breast Intervention Study meme kanseri risk değerlendirme modellerini detaylı bir şekilde değerlendirmişlerdir.","Powell ve ark <CITE> , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO   ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"Powell ve arkadaşları, Marin ilçesindeki kadın topluluğundan elde edilen verilerle, Breast Cancer Risk Assessment Tool <CITE>, BRCAPRO ve International Breast Intervention Study gibi çeşitli meme kanseri risk değerlendirme modellerini incelemişlerdir.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool <CITE> , BRCAPRO   ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"Kaliforniya'nın Marin ilçesindeki kadın kohortu verilerini kullanarak, Powell ve ark., Breast Cancer Risk Assessment Tool <CITE>, BRCAPRO ve International Breast Intervention Study risk değerlendirme modellerinin performansını ele almışlardır.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool <CITE> , BRCAPRO   ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"Yüksek oranda meme kanseri ve ilgili demografik özelliklere sahip Marin ilçesi kadın verileri temel alınarak, Powell ve arkadaşları Breast Cancer Risk Assessment Tool <CITE>, BRCAPRO ve International Breast Intervention Study meme kanseri risk modellerini değerlendirmişlerdir.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool <CITE> , BRCAPRO   ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"Powell ve ark., Kaliforniya'daki Marin ilçesindeki kadınların demografik ve sağlık bilgilerini içeren verileri kullanarak Breast Cancer Risk Assessment Tool <CITE>, BRCAPRO ve International Breast Intervention Study gibi önemli meme kanseri risk modellerini analiz etmişlerdir.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool <CITE> , BRCAPRO   ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"1.  Powell ve arkadaşları, BRCAPRO ve IBIS gibi meme kanseri risk değerlendirme modellerinin Kaliforniya'nın Marin ilçesindeki kadın topluluğu verileri üzerindeki karşılaştırmalı performansını <CITE> incelemişlerdir.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO <CITE> ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"2.  Marin ilçesindeki yüksek riskli kadın popülasyonu kullanılarak, Powell ve ark. tarafından BRCAPRO ve International Breast Intervention Study modellerinin etkinliği detaylı bir şekilde <CITE> tartışılmıştır.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO <CITE> ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"3.  BRCAPRO ve IBIS meme kanseri risk değerlendirme araçlarının mukayesesi, Marin County'deki nulliparite ve gecikmiş doğum bilgisi içeren kadın verileriyle Powell ve arkadaşları tarafından <CITE> değerlendirilmiştir.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO <CITE> ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"4.  Powell ve ark. çalışmaları, Marin County'deki kadın verileri ışığında Breast Cancer Risk Assessment Tool ve International Breast Intervention Study meme kanseri risk modellerinin karşılaştırmalı bir analizini <CITE> sunmuştur.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO <CITE> ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"BRCAT, BRCAPRO ve Uluslararası Meme Girişimi Çalışması gibi önde gelen meme kanseri risk değerlendirme modelleri, Powell ve arkadaşları tarafından <CITE> Marin ilçesindeki kadın popülasyonuna ait kapsamlı verilerle karşılaştırılmıştır.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO   ve International Breast Intervention Study <CITE> meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"Marin ilçesindeki yüksek meme kanseri oranları, nulliparite ve gecikmiş doğum bilgilerini içeren kadın topluluğu verilerini mercek altına alan Powell ve arkadaşları <CITE>, BRCAPRO, BRCAT ve International Breast Intervention Study modellerini değerlendirmişlerdir.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO   ve International Breast Intervention Study <CITE> meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"Powell ve arkadaşları <CITE>, Kaliforniya'nın Marin ilçesindeki kadın topluluğundan elde edilen verilerle BRCAT, BRCAPRO ve IBIS meme kanseri risk modellerini karşılaştırarak etkinliklerini tartışmıştır.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO   ve International Breast Intervention Study <CITE> meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
"Kaliforniya eyaletinin Marin ilçesindeki kadınların meme kanseri sıklığı, nulliparite ve gecikmiş doğum verilerini kullanan Powell ve arkadaşları <CITE>, Breast Cancer Risk Assessment Tool, BRCAPRO ve Uluslararası Meme Girişimi Çalışması risk değerlendirme modelleri arasında bir kıyaslama yapmıştır.","Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO   ve International Breast Intervention Study <CITE> meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss,synthetic-augmentation
JPEG sıkıştırması için <CITE>'de sunulan kodlardan faydalanılmıştır.,JPEG sıkıştırması için <CITE> 'de verilen kodlar kullanılmıştır.,basis,synthetic-augmentation
Çalışmamızdaki JPEG sıkıştırma implementasyonu <CITE>'deki kodlara dayanmaktadır.,JPEG sıkıştırması için <CITE> 'de verilen kodlar kullanılmıştır.,basis,synthetic-augmentation
"<CITE> tarafından geliştirilen kodlar, JPEG sıkıştırma işlemi için temel teşkil etmiştir.",JPEG sıkıştırması için <CITE> 'de verilen kodlar kullanılmıştır.,basis,synthetic-augmentation
