citation_context,section,citation_intent
"MÜS tasarımı için genellikle sezgisel yöntemler geliştirilmiştir (Venkataramanaiah ve Viguer ve Pierreval, 2004) .",Giriş,background
"Bunun yanında doğrusal olmayan programlama (Murthy ve Srinivasan, 1995) ve doğrusal programlama (Ioannou, 2006) kullanarak MÜS tasarımı gerçekleştirilmeye çalışılmıştır.",Giriş,background
"Ayrıca bu yöntem, tekrarlayan denemeyanılma faaliyetlerini en aza indirmek, önerilen tasarımlar arasından en iyisini seçmek ve tasarım dünyası için bilimsel bir alt yapı oluşturarak bilgisayardan mümkün olduğu kadar fazla yararlanmayı da amaçlamaktadır (Suh, 2001) .",Aksiyomlarla tasarım yöntemi,basis
"Bir düşünsel örnek üzerinde çalışmanın amacı, gerçekte oluşabilecek pek çok durumu sergileyebilmektir. MÜS’nin hücrelerini tasarlamak amacıyla düzenli ve yüksek talepli parçalar için oluşturulan makine-parça matrisine bir kümelendirme yöntemi uygulamak gerekmektedir. Bu amaçla Ortalama Bağlantı Yöntemi (Seifoddini, 1989) kullanılmıştır.",Düşünsel örnek üzerinde uygulama,background
"Aneke, N.A.G. ve Carrie, A.S., (1986) .",Kaynaklar,other
"Chen, S.J., Chen, L.C. ve Lin, L., (2001) .",Kaynaklar,other
"Knowledge-based support for simulation analysis of manufacturing cells, Computers in Industry, 44, 33-49. Friend, C.H., Swift, A.L. ve Ghobbar, A.A., (2001) .",Kaynaklar,other
"Gravel, M., Price, W. ve Gagne, C., (2000) .",Kaynaklar,other
"An interactive tool for designing manufacturing cells for an assembly job-shop, International Journal of Production Research, 38, 2, 309-322. Harhalakis G., Minis, T.L. ve Nagi, R., (1996) .",Kaynaklar,other
"An interactive tool for designing manufacturing cells for an assembly job-shop, International Journal of Production gineering, 16, 3, 419-426. Shambu,G. ve Suresh, N.C., (2000) .",Kaynaklar,other
"Suh, N.P., (1990) .",Kaynaklar,other
"Suh, N. P., (2001) .",Kaynaklar,other
"Tapping, D., Luyster, T. ve Shuker, T., (2001) .",Kaynaklar,other
"Venkataramanaiah, S. ve Krishnaiah, K., (2002) .",Kaynaklar,other
"Hybrid heuristic for design of cellular manufacturing systems, Production Planning & Control, 13, 3, 274-283. Viguer, P. ve Pierreval, H., (2004)",Kaynaklar,other
"Uzunca bir süredir çoğu bilgi sistemlerinde başarı ile kullanılan ve artık veri depolama ve yönetimi açısından en uygun ortam olarak kabul edilen veri tabanı yönetim sistemlerinde mekânsal verilerin de depolanabilmesi coğrafi bilgi sistemlerinin gelişiminde büyük rol oynamıştır (Adler, 2001) .",Giriş,background
"Bu beklentilerin en önemli iki maddesinden biri olan ve çok kullanıcılı ortam olarak adlandırılan bu madde mekânsal veriye birden fazla kullanıcının ulaşarak güncelleme yapmasına imkân sağlanmasıdır (Zeiler, 2002) .",Giriş,background
"Veri tabanlarında versiyon, objelerin farklı durumlarının depolanması işlemidir (Medeiros ve Jomier, 1994) .",Versiyon,background
"Obje versiyon modelinde versiyonlar objeler için tanımlanmaktadır ve obje versiyonları zamanın bir fonksiyonu olarak sıralandırılmaktadır (Kim ve Lochovsky, 1992) .",Versiyon,background
Bu değişikliklerin tamamının izlenmesi ile veri tabanındaki bütünlük sağlanmaktadır (Cellary ve Jomier 1992) .,Versiyon,background
"Veri modellerinin gelişmesi ile birlikte artık coğrafi bilgi sistemlerinde mekânsal veriler, geometri, öznitelik ve zaman bileşenleri ile ifade de edilmektedir (Chrisman, 1997)",Verilerin özgeçmişlerinin izlenmesi,background
"Özgeçmiş bilgilerini tutan ilişkisel veri tabanlarında verilerin depolama yöntemleri ve verilerin güncellendiği coğrafi bilgi sistemi programları nasıl olursa olsun verilerin özgeçmişlerine ilişkin yapılacak sorgulamalar genellikle aşağıda belirtildiği gibi 3 farklı duruma yönelik olmaktadır (ESRI, 2002) .",Özgeçmiş sorgulama yöntemleri,background
Eğilim ve davranışların otomatik olarak tahmin edilmesi ile gerçekleştirilen uygulamalar arasında daha önceki kampanyalardan hareketle yatırım getirisini maksimize edecek hedef kitlenin belirlenmesi ve şirket iflaslarının tahmin edilmesi yer almaktadır [1] .,GİRİŞ (INTRODUCTION),background
"Veri madenciliği teknikleri temel olarak, veri madenciliğinin amacına dayalı olarak tahmin edici ve tanımlayıcı yöntemler olmak üzere iki sınıf altında incelenebilir [2] .",GİRİŞ (INTRODUCTION),background
"Tanımlayıcı yöntemler içerisinde kümeleme analizi, birliktelik kuralları madenciliği, ardışıl örüntü madenciliği gibi yöntemler yer almaktadır [2] .",GİRİŞ (INTRODUCTION),background
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5 [3] , Decision Stump  , Hoeffding Tree  , LMT (Logistic Model Trees)  , Random Forest  , Random Tree   ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump [4] , Hoeffding Tree  , LMT (Logistic Model Trees)  , Random Forest  , Random Tree   ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump  , Hoeffding Tree [5] , LMT (Logistic Model Trees)  , Random Forest  , Random Tree   ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump  , Hoeffding Tree  , LMT (Logistic Model Trees) [6] , Random Forest  , Random Tree   ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump  , Hoeffding Tree  , LMT (Logistic Model Trees)  , Random Forest [7] , Random Tree   ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump  , Hoeffding Tree  , LMT (Logistic Model Trees)  , Random Forest  , Random Tree [8] ve RepTree   yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),background
"Bu doğrultuda, karşılaştırmalı analizler başlıca karar ağacı algoritmalarından C4.5  , Decision Stump  , Hoeffding Tree  , LMT (Logistic Model Trees)  , Random Forest  , Random Tree   ve RepTree [9] yöntemleri kullanılarak gerçekleştirilmiştir.",GİRİŞ (INTRODUCTION),basis
"Şirket iflaslarının yüksek doğruluk başarısı ile sınıflandırılması, hissedarlar, kredi veren kurum ve kuruluşlar, politika yapıcılar, yöneticiler gibi önemli ekonomik paydaşlar için çok kritik bir önem taşımaktadır [10] .",LİTERATÜR (LITERATURE),background
"Lam [11] , geri yayılım algoritması kullanarak yapay sinir ağı ile finansal performansın tahmin edilmesi üzerinde
çalışmıştır",LİTERATÜR (LITERATURE),background
"Aoki ve Hosonuma [12] çalışmalarında, CHAID karar ağacı algoritmasını kullanarak, 73'ü iflas etmiş ve 73'ü iflas etmemiş olan 146 Japon şirkete ilişkin bir sınıflandırma modeli oluşturmuştur.",LİTERATÜR (LITERATURE),background
"Santos vd. [13] tarafından yapılan diğer bir çalışmada, şirket iflaslarının tahmin edilmesi problemi için yapay sinir ağları ve karar ağaçları gibi on altı farklı veri madenciliği modelini değerlendiren bir çatı sunulmuş, modelde sunulan algoritmalar, eğitimde kullanılan stratejiler, öznitelik seçimleri gibi ölçütler bakımından farklılaştırılmış ve Portekiz'deki çeşitli şirketlerden toplanan gerçek veri seti aracılığıyla değerlendirilmiştir.",LİTERATÜR (LITERATURE),background
"Neves ve Vieria [14] , şirket iflaslarının tahmin edilmesinde, gizli katman öğrenme vektör nicelendirmesi algoritmasını kullanmıştır.",LİTERATÜR (LITERATURE),background
"Alfaro vd. [15] çalışmalarında, kurumsal başarısızlık tahmini için yapay sinir ağları ve AdaBoost öğrenme algoritmasını uygulamış ve her iki yöntemin tahmin etmede elde ettikleri doğruluk oranları Avrupa'daki çeşitli şirketlere ilişkin veriler üzerinde karşılaştırılmıştır.",LİTERATÜR (LITERATURE),background
"Nachev [16] Mohan   tarafından gerçekleştirilen çalışmada, karar ağacı algoritması için geleneksel öğrenme ve evrimsel algoritmaya dayalı iki farklı yöntemin etkinliklerini araştırmıştır.",LİTERATÜR (LITERATURE),background
"Nachev    Mohan [20] tarafından gerçekleştirilen çalışmada, karar ağacı algoritması için geleneksel öğrenme ve evrimsel algoritmaya dayalı iki farklı yöntemin etkinliklerini araştırmıştır.",LİTERATÜR (LITERATURE),background
"Karar ağacında her bir iç düğüm, örnek uzayını girdi öznitelik değerlerinin belirli bir fonksiyona tabi tutulmasına dayalı olarak iki ya da daha fazla parçaya ayırmaktadır [21] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"Karar ağaçlarının sınıflandırmada kullanılmasında, karar ağaçlarının basit yapısı sayesinde, oluşturulan sınıflandırma modelinin kolay anlaşılabilir olması, karar ağaçlarının parametrik olmaması sayesinde, bilgi keşfi için uygun bir yapı sunması, diğer sınıflandırma yöntemlerine kıyasla kısmen daha hızlı bir biçimde oluşturulması gibi özellikler rol oynamaktadır [22] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"Karar ağaçları, değinilen üstün özelliklerine karşın, birden fazla öznitelik içeren çıktıları olanaklı kılmamaları, kısmen değişken sonuçlar üretmeleri, test verisindeki küçük değişikliklere karşı bile duyarlı olmaları, nümerik veri setleri için karmaşık bir ağaç yapısı oluşturmaları gibi problemler ile karşı karşıya kalmaktadır [9] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"Sınıflandırma ve tahmin etmede karar ağaçlarının kullanılması, eğitim verisinden karar ağacı modelinin oluşturulması, bu modelin, test verisi kullanılarak uygun sınama ölçütleri aracılığıyla değerlendirilmesi ve ilgili modelin gelecekteki değerleri tahmin edilmesinde kullanılması şeklinde işlemektedir [23] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"Sınıflandırma ve tahmin etmede karar ağaçlarının kullanılması, eğitim verisinden karar ağacı modelinin oluşturulması, bu modelin, test verisi kullanılarak uygun sınama ölçütleri aracılığıyla değerlendirilmesi ve ilgili modelin gelecekteki değerleri tahmin edilmesinde kullanılması şeklinde işlemektedir [24] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"Karar ağacı algoritmaları genellikle genelleştirme hatasını en aza indirgeyen en uygun karar ağacı yapısını oluşturmayı hedeflemek ile birlikte, düğüm sayısı, ortalama derinlik ya da başka amaç fonksiyonlarını en aza indirgemeyi hedeflemek de mümkündür [21] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),basis
"Bilgi kazancı, ki-kare istatistiği, GINI indeksi gibi ölçütler, başlıca kullanılan düğüm ayırma ölçütleri arasındadır [25] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),basis
Budama ile bir ölçütü iyileştiren düğümler budanmaktadır [26] .,KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),basis
"Bunun yanı sıra, en düşük hata budaması, karamsar budama, hata tabanlı budama, en uygun budama ve minimum tanım uzunluğu budama gibi çeşitli budama yaklaşımları bulunmaktadır [21] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"Budama yöntemleri değerlendirildiğinde, maliyetkarmaşıklık budama yöntemi, azaltılmış hata budaması yöntemi gibi yaklaşımların gereğinden fazla budama yaparak, küçük ancak düşük doğruluk oranına sahip karar ağaçları oluşturduğu, en düşük hata budaması, karamsar budama ve hata tabanlı budama gibi yaklaşımların gereğinden az budama yaptıkları gözlenmektedir [26] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),discuss
"C4.5 algoritması [3] , en çok bilinen karar ağacı algoritmalarından biridir.",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"C4.5 algoritması, ID3 algoritmasına [27] dayanan ve bu algoritmanın bazı kısıtlarını ortadan kaldıran bir yöntemdir.",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"Bunun yanı sıra, karar ağacı oluşturma sırasında ya da sonrasında bazı düğümlerin ya da alt ağaçların silinmesi ile aşırı uygunluk problemini ortadan kaldırmakta, eğitim setindeki istisnai ve gürültülü değerlerin çıkarılmasını sağlamaktadır [28] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
Decision Stump algoritması genellikle boosting yöntemleri ile birlikte kullanılır [29] .,KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"Hoeffding Tree algoritmasının önemli özelliklerinden biri algoritma sonucu oluşturulan karar ağacının, her bir düğümün test edilmesi amacıyla tüm örnekleri kullanan sınıflandırıcılar ile hemen hemen aynı olmasıdır [5] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"LMT (Logistic Model Trees) algoritması, karar ağacı indüksiyonu ve lojistik regresyon modellerini bir araya getiren bir yöntemdir [6] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
Algoritma sonucu oluşturulan ağaç yapısına budama işlemi uygulanarak model sadeleştirilir ve genelleştirme performansı artırılır [30] .,KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"Random Forest algoritması [7] , eğitim verisindeki örneklerin rastgele olarak seçilmesi ile oluşturulan budanmamış sınıflandırma ve regresyon ağaçlarından oluşan bir modeldir.",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"Rastgele ağaçlar, etkin bir biçimde oluşturulabilmekte ve birçok rastgele ağacın oluşturduğu modeller genellikle yüksek doğruluk oranına sahip olmaktadır [8] .",KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
Eksik değerler için ise C4.5 algoritmasının örnekleri karşılık gelen parçalara ayırma yaklaşımı uygulanmaktadır [9] .,KARAR AĞACI YÖNTEMİ (THE DECISION TREE METHOD),background
"Çalışmada kullanılan veri seti, Polonyalı şirketlere ilişkin finansal veriler taranarak oluşturulmuştur [31] Çalışmada kullanılan algoritmaların değerlendirilmesinde, doğru sınıflandırma yüzdesi, ortalama mutlak hata, ortalama karesel hatanın karekökü, kesinlik, geri çağırma ve F-ölçütü kullanılmıştır.",VERİ SETİ VE BULGULAR (DATA SET AND FINDINGS),basis
Ortalama mutlak hata ölçütü aşağıda belirtilen formüle göre hesaplanmaktadır [32] :,VERİ SETİ VE BULGULAR (DATA SET AND FINDINGS),basis
Ortalama karesel hatanın karekökü aşağıda belirtilen formüle göre hesaplanmaktadır [33] :,VERİ SETİ VE BULGULAR (DATA SET AND FINDINGS),basis
"Kesinlik oranı, doğru pozitifin, doğru pozitif ve yanlış pozitif toplamına oranı ile geri çağırma ise, doğru pozitifin, doğru pozitif ve yanlış negatif toplamına oranı ile hesaplanmaktadır [34] .",VERİ SETİ VE BULGULAR (DATA SET AND FINDINGS),background
"F-ölçütü değeri, aşağıda belirtilen formüle göre belirlenmektedir [34] :",VERİ SETİ VE BULGULAR (DATA SET AND FINDINGS),background
Meme dokusundaki süt kanalları veya bezlerinde gelişen [1] ve kadın nüfusunu etkileyen yaygın kanser tiplerinden bir tanesi olarak bilinen ve dünya genelinde her yıl 1.38 milyon yeni vakanın tahmin edildiği bir hastalıktır  .,GİRİŞ,background
Meme dokusundaki süt kanalları veya bezlerinde gelişen   ve kadın nüfusunu etkileyen yaygın kanser tiplerinden bir tanesi olarak bilinen ve dünya genelinde her yıl 1.38 milyon yeni vakanın tahmin edildiği bir hastalıktır [2] .,GİRİŞ,background
"Ancak, düzensiz bir sınıra sahip kütle kanserli olabilir [3] .",GİRİŞ,background
"Özyinelemeli Özellik Elemesi (ÖÖE, Recursive Feature Elimination [4] ) ile özniteliklerin öneminin araştırıldığı ve sonrasında sırasıyla  'da tanıtımları yapılan Lojistik Regresyon (LR) ve Rastgele Orman (RO) sınıflandırıcı algoritmaları ile eğitim ve test aşamaları yürütülerek sınıflandırma sürecinin tamamlandığı bu çalışmada meme kanseri hastalığı için önemli olan özniteliklerin araştırması yapılmıştır.",GİRİŞ,background
"Özyinelemeli Özellik Elemesi (ÖÖE, Recursive Feature Elimination  ) ile özniteliklerin öneminin araştırıldığı ve sonrasında sırasıyla [5] 'da tanıtımları yapılan Lojistik Regresyon (LR) ve Rastgele Orman (RO) sınıflandırıcı algoritmaları ile eğitim ve test aşamaları yürütülerek sınıflandırma sürecinin tamamlandığı bu çalışmada meme kanseri hastalığı için önemli olan özniteliklerin araştırması yapılmıştır.",GİRİŞ,background
"Özyinelemeli Özellik Elemesi (ÖÖE, Recursive Feature Elimination  ) ile özniteliklerin öneminin araştırıldığı ve sonrasında sırasıyla [6] 'da tanıtımları yapılan Lojistik Regresyon (LR) ve Rastgele Orman (RO) sınıflandırıcı algoritmaları ile eğitim ve test aşamaları yürütülerek sınıflandırma sürecinin tamamlandığı bu çalışmada meme kanseri hastalığı için önemli olan özniteliklerin araştırması yapılmıştır.",GİRİŞ,background
Meme kanseri her yıl milyonlarca hastada sıklıkla görülen bir hastalıktır [7] .,ÖNCEKİ ÇALIŞMALAR,background
"Powell ve ark [8] , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO   ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",ÖNCEKİ ÇALIŞMALAR,discuss
"Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool [9] , BRCAPRO   ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",ÖNCEKİ ÇALIŞMALAR,discuss
"Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO [10] ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",ÖNCEKİ ÇALIŞMALAR,discuss
"Powell ve ark  , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO   ve International Breast Intervention Study [11] meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",ÖNCEKİ ÇALIŞMALAR,discuss
"Al-Diab ve ark, sundukları çalışmada, Sudi Arabistandaki meme kanserinin tüm kanserli kadın hastaların içinde %19.8 bir orana sahip olduğunu ortaya koymuşlardır [12] .",ÖNCEKİ ÇALIŞMALAR,background
Hibrid bir çalışmayı içeren çalışmalarında %97 başarının elde edildiği optimize edilmiş yüksek performanslı bir tanı sistemi gerçekleştirmişlerdir [13] .,ÖNCEKİ ÇALIŞMALAR,background
"Porto-Mascarenhas ve ark, tükürük biomarkerlarının meme kanserini karakterize etmekte yardımcı olabilecekleri düşüncesi doğrultusunda bu biomarkerların yeteneklerini değerlendirmek için gerçekleştirdikleri çalışmada, tükrük biomarkerlarının meme kanserinin erken evreden ziyade ileri aşamalarını tanımladıklarını görmüşlerdir [14] .",ÖNCEKİ ÇALIŞMALAR,background
"Çalışmalarınd a, yalnızca başlangıçta kaygısı olmayan kadınlar üzerinde kimyasal tedavi ve bilişsel bozukluk arasındaki ilişikinin istatistiksel olarak önemli olduğunu ortaya koymuşlardır [15] .",ÖNCEKİ ÇALIŞMALAR,background
"Peters ve ark, çalışmalarında özellikle erken evre yumurtalık kanseri teşhisi konan BRCA1/2 taşıyıcıları için düzenli meme kanseri verilerinin toplanmasını ve ilaç ve/veya profilaktik mastektomi yani iki memenin de ameliyatla alınması yöntemleri ile risk azaltmayı önermişlerdir [16] .",ÖNCEKİ ÇALIŞMALAR,background
"Pudkasam ve ark, egzersiz programlarının meme kanserini iyileştiren yağ(adipozite) ve immünolojik belirteçler üzerindeki bilinen etkilerini araştırmışlardır [17] .",ÖNCEKİ ÇALIŞMALAR,background
Meme kanseri de dâhil olmak üzere katı tümörlerle ilişkili anjiyojenezde bu hücrelerden artmış sayıda vardır [18] .,ÖNCEKİ ÇALIŞMALAR,background
