id,citation_context,section,citation_intent
29912,"Okunabilirlik kavramı, metinlerin okunaklı olması ve anlaşılabilirliği ile ilişkilendirilmekte olup, genel olarak bir metnin okuyucular tarafından hızlı, kolay ve anlaşılabilir şekilde okunabilmesi olarak tanımlanmaktadır <CITE>. Bir önceki bölümde de değinildiği üzere, literatürde okunabilirlik konusunda yapılan teorik ve ampirik çalışmalarda, metnin biçimsel özelliklerinin metnin anlaşılabilirliği üzerindeki etkisi tartışılmış, birçok çalışmada da okuyucunun dikkatini metne çekebilmek için geliştirilebilecek tasarımlara ve tipografik unsurların kullanımına dikkat çekilmiştir [REF][REF].",okunabilirlik indeksleri,background
49071,"Fraihat ve ark. <CITE> büyük ölçekli IoT NetFlow tabanlı ağlar için bir güvenlik önlemi olarak bir ağ saldırı tespit sistemi önermişlerdir. Önerilen NIDS, en uygun özellik kümesini belirlemek için aritmetik optimizasyon algoritmasının değiştirilmiş bir versiyonuyla desteklenen makine öğrenimini kullanmıştır.",literatür taramasi,background
34830,"Bir çiçeği diğerinden ayıran renk, şekil ve doku gibi çeşitli özellikleri temsil eden görsel bir kelime dağarcığı geliştirerek, çiçek kategorileri arasında var olan belirsizlikleri gidermeye çalışmışlardır. 17 çiçek türü ve 1360 görüntüden oluşan bir veri kümesinde renk özellikleri ile %73,7, şekil özellikleri ile %71,8 ve renk ve şekli birleştirerek %81,3 performansa ulaşmışlardır <CITE>. [REF].",giriş,background
43672,"MobileNet, içerisinde 3x3 ve 5x5'lik çok sayıda darboğaz (bottleneck) bloklarını içeren geliştirilmiş bir evrişimsel sinir ağıdır. <CITE>. Çalışmaya ilişkin olarak güncellenen MobileNetV3 mimarisi aşağıdaki şekil-6'da belirtilmiştir.",materyaller ve yöntemler,background
29291,"Çok sayıda işletme, değerlendirme sürecini kafa karıştırıcı bulmakta ve anlamlı bir değerlendirmenin neleri içermesi gerektiği konusunda bir fikir birliği bulunmamaktadır <CITE>. Bazen sadece maliyetler hesaba katılmaktadır.",bilişim teknolojisi yatırımlarının değerlendirilmesi,background
48766,"Şekil 1' de verilen MYSA'da, uzman ağ adı verilen K adet denetlenmiş modülden ve birleştirme ağı adı verilen ve uzman ağlar arasında birleştirme görevi yapan bir üniteden oluşur. Eğitim örnekleri p boyutlu x giriş vektörü ile, arzu edilen davranış q boyutlu d vektörü ile gösterilmek üzere, giriş vektörü x, uzman ağa ve birleştirme ağına eş zamanlı olarak uygulanır <CITE>. yi, i. uzman ağın çıkış vektörünü, gi birleştirme ağın aktivasyon fonksiyonunu ve y tüm modüler ağın çıkış vektörünü göstermek üzere Denklem 1' deki ifade bulunur.",materyal ve yöntem,basis
49547,"Optimizasyon algoritması olarak 2019 yılında yayınlanan ve diğer optimizasyon algoritmalarına nazaran statik öğrenme oranı (learning rate) almayan, Adam optimizasyon algoritması kadar hızlı ve Olasılıksal Dereceli Azalma (Stochastic Gradient Descent- SGD) kadar iyi bir optimizasyon algoritması olduğunu iddia eden AdaBound <CITE> optimasyon algoritması kullanıldı. AdaBound tek bir öğrenme oranı almak yerine iki adet öğrenme oranı alarak mevcut yapıya bu iki oran arasında bir optimizasyon uygular.",araştırma sonuçları ve tartışma,basis
49352,Günümüzde video izleme oranları ve gerçek zamanlı video konferans uygulamalarının yaygınlaşması ile LTE ağlardan aktarılan verilerin miktarında artışlar olmuştur. Özellikle kamera çözünürlüklerinin artması ile paylaşılan videoların kaliteleri ve kapasiteleri artmıştır <CITE>. Video kalitelerindeki ve kullanıcı sayılarındaki artış nedeniyle kullanıcı deneyimlerine göre izlenen video kaliteleri farklılık gösterebilmektedir.,giriş,background
32889,"Youtube API sayesinde belirli bir video, oynatma listesi, kanal kaynağı, bir konu, kelime veya terime ait istenilen videolara ait paylaşılmış yorum verilerini elde etmek mümkündür. Toplanan bu veriler MySQL , Microsoft SQL(MSSQL) <CITE> gibi istenilen bir veri tabanına yüklenebileceği gibi CSV (Virgülle Ayrılan Değerler) metin dosyası veya Excel dosyasına taşınabilir. Yapılan çalışmada verilerin toplanmasında geliştirilen bir uygulama aracı kullanıldı ve veriler CSV metin dosyası üzerine kaydedildi.",yöntem,discuss
29112,"2016 yılında UCI'ye bağışlanan bu veri seti Phish Tank arşivi ve Yahoo'dan PHP'de geliştirilen bir script dosyası ile toplanmıştır. Elde edilen veriler 1.353 örnek ve 10 niteliğe sahiptir <CITE> . Verilerin 548'i meşru site, 702'si kimlik avı ve 103 URL ise şüphelidir.",materyal ve metot,basis
31876,"Önerilen sistemle, hasta verileri gerçek zamanlı toplanarak analiz edilirken ayrıca bazı kronik/yaşlı hastalarda bilinç kaybı veya kriz durumlarına bağlı olarak gerçekleşen düşmelerin tespitleri de yapılabilmiştir. Düşme tespiti veya bunun sonucunda oluşabilecek hayati durumların izlenmesine yönelik sistem tasarımları ayrıca [REF] ve [REF]'daki çalışmalarda da önerilmiştir. Sağlık uygulamalarında Elektronik Sağlık Kayıtları (ESK\EHR)'nın önemi kritiktir <CITE> .",literatür özeti ve problemin tanımı,background
49556,"Çalışmada kullanılan ikinci veri Chikusei veri setidir. Görüntü Chikusei, Ibaraki, Japonya'daki tarımsal ve kentsel alanlar üzerinde hava aracı tabanlı Headwall Hyperspec-VNIR-C sensörü ile 29 Temmuz 2014 tarihinde elde edilmiştir <CITE>. Görüntü 363 ile 1018 nanometre aralığında kaydedilmiş 128 spektral banda ve 2,5 metre yer örnekleme aralığına sahiptir.",materyal ve metot,basis
48682,"İskoç aksanı için 6 kadın konuşmacı tarafından seslendirilen veri kümesi, 3.069'u benzersiz olan toplam 12.187 kelime içermektedir ve 1,58 saat uzunluğundadır. İskoç aksanı için ek olarak 11 erkek konuşmacının seslendirdiği 4.539'u benzersiz toplam 22.194 kelime içeren, 2,75 saat uzunluğunda veri kümesi hazırlanmıştır <CITE>[REF].",ilgili çalişmalar,background
38275,"Hatta normal hayatlarında gerçek duygu ve düşüncelerini paylaşamayan kişilerin, sosyal medya üzerinden kendilerini rahatça ifade edebilmeleri, sosyal medya ve diğer ortamları, bireylerin düşünce, tutum ve davranışlarının ölçülmesinde daha gerçekçi sonuçlar verebilecek bir veri kaynağına dönüştürmüştür [REF]. Dolayısıyla burada üretilen içerikler ve paylaşılan görüşler, işletmelerin tutmuş oldukları büyük verilere eklenerek işletmelerin karar verme süreçlerine katılmaya başlanmıştır <CITE>.",giriş,background
48668,"Bu yöntemde ses birimlerinin uzunluğu konuşmanın kalitesini doğrudan etkilemektedir. Daha uzun birimlerle, doğallık artarken daha az birleştirme noktasına ihtiyaç duyulmaktadır <CITE>. İstatiksel parametrik TTS yönteminde her bir birime karşılık gelen modeller bir havuzda saklanmaktadır.",ilgili çalişmalar,background
29778,"İnternet üzerinde istenilen konumları dikkate alan harita oluşturma ve Karar Ağacı yöntemleri ile karar çevrim sürelerini düşüren sistem önerisinde bulunmuştur. Çalışmada verilerin elde edilebileceği kaynaklar özellikle belirtilmiştir <CITE>. Lele ve Lhua (2016) kimya endüstrisi alanında oluşabilecek acil durumlar için önleyici, tüm süreç içerisinde erken uyarı sistemini inceleyecek karar destek sistemi önermişlerdir [REF].",afet risk yönetiminde yapay zekâ kullanimi,background
30405,"Feromon güncellemesinin iki temel elemanı vardır: 1. Tüm yollardaki feromonların belirlenen oranda (buharlaşma oranı) buharlaştırılması. 2. Karıncaların geçiş yapmış oldukları yollardaki feromon miktarlarının, o yolu kullanan karıncanın yol uzunluğuyla ters orantılı olarak arttırılması <CITE> . Buharlaşma oranı daha önceki çözümlerin öneminin azaltılmasını sağlamaktadır.",karıncaların geçiş yapmış oldukları,background
29236,"Disiplinlerarası çalışmalarda öğrenme ve uygulama döngüsü oldukça önemlidir <CITE>. Bu döngü, yetenekli insan kaynakları yetiştirmek, yeniliği beslemek ve rekabet gücünü artırmak adına öğrenen bir organizasyon olmayı gerektirir. Öğrenen organizasyon, yeni teknolojiyi edinir ve öğrenerek daha kullanışlı teknolojiler yaratır.",giriş,background
29178,"Karar ağaçlarının sınıflandırmada kullanılmasında, karar ağaçlarının basit yapısı sayesinde, oluşturulan sınıflandırma modelinin kolay anlaşılabilir olması, karar ağaçlarının parametrik olmaması sayesinde, bilgi keşfi için uygun bir yapı sunması, diğer sınıflandırma yöntemlerine kıyasla kısmen daha hızlı bir biçimde oluşturulması gibi özellikler rol oynamaktadır <CITE>. Bunun yanı sıra, karar ağaçlarından kuralların elde edilmesi de oldukça kolay bir biçimde gerçekleştirilebilmektedir.",karar ağaci yöntemi,background
29214,"Alharbi ve Tchier, bulanık tabanlı sistemler ve evrimsel genetik algoritmalar kullanarak meme kanserinin erken tanısı için hekimlere yardımcı olacak otomatik bilgisayar tanı sistemi üzerine odaklanmışlardır. Hibrid bir çalışmayı içeren çalışmalarında %97 başarının elde edildiği optimize edilmiş yüksek performanslı bir tanı sistemi gerçekleştirmişlerdir <CITE>.",önceki çalişmalar,background
49054,Ijaz ve ark. <CITE> vektörlere dayalı bir genetik algoritma tanıtmışlardır. Bu teknikte vektör kromozomları uygulanmıştır.,literatür taramasi,background
35710,"Bu bağlamda hükümetlerin, genellikle ""Dönüşümsel Hükümet"" veya T-Gov olarak adlandırılan BİT liderliğindeki politika araçlarının uygulanması yoluyla sayısal dönüşümü sağlayan politikalar tasarlamaları yaygın bir beklenti halini almıştır [REF]. Örneğin elektronik devlet (e-devlet) ve akıllı devlet terimleri, hala geliştirme aşamasında olan ve geçtiğimiz yirmi yılda araştırmacılardan büyük ilgi gören kavramlardır <CITE>[REF][REF][REF]; [REF]; [REF].",ilgili çalışmalar,background
49534,Deneysel çalışmada kullanılan veri kümesi NCBI veri tabanından elde edilmiştir <CITE>. Uygulama için altı sağlıklı altı göğüs kanseri genine ait DNA sekansları kullanılmıştır.,materyal ve metot,basis
29502,"Hitit çivi yazılı tabletler, Hititlerin başkenti Boğazkale/ Hattuşa başta olmak üzere Çorum-Ortaköy / Şapinuwa, Samsun Vezirköprü-Oymaağaç / Nerik, Sivas-Kuşaklı / Şarişşa, Sivas-Kayalıpınar / Şamuha, Kırıkkale-Karakeçili Büklükale, Çorum-Alacahöyük, Eskiyapar, Yozgat-Sorgun Uşaklı Höyük, Kilis Oylum Höyük gibi Anadolu'nun farklı bölgelerinde ve Türkiye dışındaki arkeolojik kazılarda elde edilmiştir <CITE>. Hitit çivi yazılı tabletlerinde, Hitit dili dışında Palaca, Luvice, yerli halkın dili olan Hattice, Hurrice, Sümerce, Akadça ve Kikkulli yönetmeliğinde geçen Sanskritçe öğelerle birlikte toplam sekiz farklı dil yer almaktadır.",giriş,background
30169,"Bu ayrımın yapılmasının il adımı bulanık kümeleme yaklaşımlarının uygulanmasıdır. Bulanık kümeleme yaklaşımları görüntülerin kümelenmesinde sıklıkla kullanılmaktadır  - <CITE> . Hispatolojik görüntülerden ilgilenilen alanların tespit edilmesi [REF], göğüs ve beyin ultrason görüntülerinden kanser hücrelerinin tespit edilmesi gibi bir çok görüntü işleme alanında bulanık kümeleme yaklaşımları ile yüksek başarımlar elde edilmiştir.",giriş,background
41554,"Kısa vadeli tahminler için yapılan deneyler, bu modelin normal SVR modeline kıyasla daha iyi performans ve doğruluğu olduğunu göstermiştir. <CITE> ise başka bir kısa vadeli elektrik yükü tahmini için yapılan çalışma olup hibrit parçacık sürü optimizasyonu-genetik algoritma-geri yayılım sinir ağları (Hybrid Particle Swarm Optimization-Genetic Algorithm-Back Propagation Neural Network, PSO-GA-BPNN) algoritmasına dayalı bir model verilmiştir. Burada PSO-GA algoritması, BPNN parametrelerini optimize etmede kullanılmıştır.",literatür araştırması,background
49535,"Bu çalışmada daha önceden birçok genomik çalışmada kullanılan yüksek performans elde edilmiş olan Entropi Tabanlı Sayısal Haritalama Tekniği kullanılmıştır. Bu teknikte sekanslar, Fraksiyonel Shannon Entropisi kullanılarak DNA dizilimlerindeki kodonların dağılım frekansına göre sayısallaştırılmıştır <CITE>. Shannon, bir dizilimde meydana gelen kodon olasılıkları p1, p2, p3,……… pn, olan ve bu olasılıklardan hangisinin önce meydana geldiği bilinmeyen bir olaylar kümesini ele almıştır.",materyal ve metot,basis
45217,"Liu ve ark. gürültü türü saptamak için sekiz evrişim katmanı, dört ortaklama katmanı ve üç tam bağlı katman olmak üzere toplam 15 katmanlı bir CNN modeli önermiştir <CITE>. BSDS500 veri kümesi kullanılarak, önerilen model %90,1 gürültü tipi sınıflandırma doğruluğu elde etmiştir.",ilgili çalışmalar,background
31388,"zaman serisi verilerini tahmin etmek için derin öğrenme tabanlı yeni algoritmaların, özellikle LSTM'nin, geleneksel algoritmalara kıyasla önemli ölçüde daha üstün olduğu vurgulanıyor. LSTM, ARIMA modeline göre hata oranlarını %84 ila %87 oranında azaltarak, zaman serisi tahminindeki doğruluk ve hassasiyet konusunda büyük bir gelişme sağlamıştır <CITE>. Pirani ve ark.",giriş,background
30336,"Genel anlamda 3B iki tür veri kümesi vardır: iç mekân sahneleri  ,   ve dış mekân kentsel sahneleri <CITE> . İç mekân sahnelerindeki NB ya yoğun derinlik haritalarından dönüştürülür ya da 3B noktasal örgülerden elde edilir.",örgü tabanlı yöntemler,background
29384,"İleriki araştırmalar, imgedeki gürültü düzeyinin <CITE> 'deki çalışmada olduğu gibi otomatik olarak kestirilmesi ve yerel olmayan yayınıma   karmaşık yayınımın nasıl uygulanabileceği üzerine olacaktır.",tartışma ve sonuç,discuss
35731,"Sonucunda, kâr amaçlı sosyal medya teknolojisi aracılığıyla uzman profesyoneller tarafından istek, düzenleme ve sorumluluk adı altında üç bilişsel çerçevede ifade edilen bir öz-yönetim anlayışı tanımlanmıştır. Son olarak, akıllı yönetişim ve sosyal sürdürülebilirlik üzerine bir çerçeve sunan araştırmada, akıllı yönetişimin formüle edilmesinde sosyal medyada akıllı telefonlarda kolayca kullanılabilen web tabanlı Planlama Destek Sistemleri ile ilgili daha fazla araştırma ve uygulama yapılması gerektiği öne sürülmüştür <CITE>.",ilgili çalışmalar,background
49557,"Çalışmada kullanılan üçüncü veri ise WHU-Hi-Han Chuan veri setidir. Görüntü Hubei, Çin’de Aibot X6 insansız hava aracına monte edilmiş Headwall NanoHyperspec sensörü ile Haziran 2016’da elde edilmiştir <CITE>. Görüntü 400 ile 1000 nanometre aralığında kaydedilmiş 274 spektral banda ve 0,109 metre yer örnekleme aralığına sahiptir.",materyal ve metot,basis
29255,"Araştırmacılara göre bir yenilikçilik kültürünün normalleştirilmesi, alan kullanımında hem fiziksel hem de davranışsal ayarlamalar gerektirir; bu da fakültenin akran öğrenimi için alanları yeniden tasarlamak üzere hem fakülte hem de kurumların birlikte çalışması gerektiğini düşündürür. Fakülteler ile sosyal ya da sektörel kurumların bir arada çalışmasına yönelik Groulx ve arkadaşları tarafından gerçekleştirilen farklı bir araştırmada, sürdürülebilirlik girişimleri oluşturmak için geçerli olan kapsamlı üniversite-toplum iş birlikleri kavramı incelenmiştir <CITE>. Sonuçlar, toplumsal/bölgesel kalkınma bağlamında, topluluk deneyiminin, eşitlik ve katılımın, esnek program tasarımının ve üniversitetopluluk ortaklıklarının, başarının anahtarı olarak öğretme ve öğrenmede risk almayı destekleyen bir kurumsal kültür için önemini vurgulamaktadır.",ilgili çalişmalar,background
30103,Örneğin sağ ayağın önde olması gibi atomik eylemlerin bir döngü içerisinde gerçekleşmesi ile (koşma gibi) bir hareket meydana gelmektedir. Genel tanımıyla insan vücudunun ardışık manevralarının sonucunda ortaya çıkan durum olarak ifade edilebilir <CITE>. Hareket tespiti için öncelikle kişilerin tespitinin gerçekleştirilmesi ve tüm görüntüden ayrılması gerekmektedir.,giriş,background
35736,"Literatürde önerilen öbek zinciri tabanlı yönetişim modellerinin büyük çoğunluğunda, akıllı yönetişim için güven, gizlilik, saydamlık ve hesap verebilirliğe odaklanılmıştır [REF][REF][REF][REF]. Diğer bir çalışmada, öbek zinciri vasıtasıyla, halka açık konsorsiyum için yeni bir fikir birliği algoritması tasarlanmıştır <CITE>. Farklı bir diğer çalışmada [REF] ise öbek zinciri tabanlı yönetişim modellerinin karar verme sürecinde vatandaş katılımını artıracağı öne sürülmüştür.",ilgili çalışmalar,background
29902,"Finansal piyasalarda yatırımcıların özel durumlar hakkında bilgilendirilmesine yönelik yapılan kamuya açıklama formlarında ve finansal raporlamada, metinlerin ortalama eğitim düzeyine sahip bir yatırımcı tarafından anlaşılabilir olması, piyasalardaki bilgi akışını etkilemekte ve etkin piyasa oluşumuna katkı sağlamaktadır <CITE>. Özellikle menkul kıymetleri piyasada işlem gören şirketler tarafından kamuya açıklanan finansal raporların ve formların okunabilirliği; şirket performansı, finansal planlama etkinliği, yatırımcı kararları ve yatırımlarının verimliliği, kurumsal yönetişim, karlılık durumu ve faaliyet etkinliği, likidite ve beklenen getiri ile bilgi asimetrisi gibi birçok faktörle yakından ilişkili olup, piyasanın ve yatırımcıların korunması açısından önemli bir yere sahiptir [REF][REF][REF].",giriş,background
29471,"Bilgisayar Bilimleri ile ilgili eğitim görmüş olanlar, örneğin, sürüm kontrol ve bağımlılık belgeleme tekniklerini diğer bilimsel yazılım geliştiricilere göre daha sık kullanmaktadırlar [REF]. Gereksinim yönetimi, güncel sınama yöntemleri ve tasarım modelleme gibi konuların ise önemli bulunsalar dahi belgeleme ve sürüm yönetimine göre az bilinen pratikler olduğu belirlenmiştir <CITE>. Ayrıca belgeleme gibi görece sık uygulanan pratiklerin bile gereken yetkinlik düzeyinde uygulanmadığı ve dolayısıyla gerekli işlevi yerine getiremediği de örnek bilimsel yazılım incelemeleriyle belirlenmiştir [REF].",bilimsel yazılım geliştirmede yazılım mühendisliği yetkinlik gereksinimlerine giriş,background
38288,"Nitekim ürün ya hizmetleriyle alakalı geri bildirim alan ve bunları doğru şekilde değerlendiren kurumlar güçlü sayılmaktadır [REF]. Bugün Uber*, Amazon**, TripAdvisor*** firmaları, ilgili alanda faaliyet gösteren işletme ve satıcılara ilişkin yorumlarla sırasıyla 100 milyon*, 300 milyon** ve 450 milyon*** civarı kullanıcının yoğun iletişim ve ilişki kurmasına imkân tanımaktadır <CITE>.",giriş,background
29414,"Bu nedenle, GS’den gelen bir veri kümesini en iyi şekilde temsil eden yaşam dağılımının hangisinin olduğunun belirlenmesi diğer önemli bir problem olarak ele alınabilir. <CITE> çalışmasında GS ile uyumlu olduğu, yani GS'nin bir model olarak kullanılabildiği bilinen on veri kümesinin hangi dağılım ile en iyi şekilde temsil edileceğini araştırmak amacıyla olabilirlik oranına dayalı T-istatistiğini kullanmışlar ve GS için ilk olay zamanının dağılımını bu kritere göre belirlemişlerdir. Dağılımın belirlenmesinin ardından parametrelerin en çok olabilirlik tahmin değerlerini de hesaplamışlardır.",giriş,background
49430,Herhangi bir dış kaynaktan doğru veya yanlış bilgisi verilmemekte ve geri bildirimde bulunulmamaktadır. Etiketlenmemiş dokümanlardan hiçbir ek bilgi kullanılmadan doküman kümelenmeye çalışılmıştır. Etzioni <CITE> 2005 yılındaki çalışmasında Karşılıklı Bilgi ve Bilgi Erişimini (Pointwise Mutual Information and Information Retrieval-PMI & R) varlık isimlerini belirlemek için bir özellik olarak kullanmıştır. Bu yöntemle web sorguları kullanılarak iki ifade arasındaki bağımlılık ölçülmekte ve bağımlılık ölçümünün yüksek çıkması bu ifadelerin birlikte meydana gelme eğiliminde olduğunu göstermektedir.,giriş,background
30348,"Tesis yerleştirme problemi, toplam maliyeti, maksimum mesafeyi ve toplam taşıma süresini en aza indirmeyi amaçlayan matematiksel modeller oluşturulmuş ve sezgisel yöntemler uygulanmıştır <CITE>. Pamuk ve Serpil, p-hub problemini çözmek için tabu arama yöntemi kullanarak iki tek tesis yerleştirme işlemi gerçekleştirmişlerdir.",giriş,background
29157,"Veri modellerinin gelişmesi ile birlikte artık coğrafi bilgi sistemlerinde mekânsal veriler, geometri, öznitelik ve zaman bileşenleri ile ifade de edilmektedir <CITE>",verilerin özgeçmişlerinin izlenmesi,background
45203,Tai ve Yang görüntü gürültüsü tahmini için basit ve hızlı bir algoritma önermiştir <CITE>. Giriş görüntüsünün Gauss gürültüsü tarafından bozulduğu varsayılır.,ilgili çalışmalar,background
42405,"yüksekliğinde akça ağaçtan ve üzerine satranç tahtası çizilmiş tekerlekli bir kabinet önünde oturan bıyıklı, türbanlı ve pelerinli bir Türk figüründen oluşuyordu. Öndeki kapak açılıp dolabın ve Türk'ün içine bakıldığında irili ufaklı pek çok kaldıraç, makara ve başka karmaşık mekanik sistemler görülebilmekteydi <CITE> 2006 yılında, Kahire Üniversitesi Bilgisayar Mühendisli Bölümü'nde, A. K. Farahat, A. M. Hassan ve M. A. El-Nagar, ""A Vision System for Chess Playing Robots"" isimli çalışmayı gerçekleştirmişlerdir. Bu çalışmada, bir bilgisayarın, insan karısında gerçek bir satranç takımı ile satranç oynayabilmesine olanak veren bir sistem geliştirilmiştir.",tarihçe ve önceki çalışmalar,background
49110,"Bayes ağları, son dönemde sık sık karşımıza çıkan ve birçok alanda veri modelleme ve durum geçişi ifade etmek için kullanılan bir metotdur. Judea <CITE> tarafından önerilen bu ağlar, yaşanmış olayları analiz ederek gelecekte yaşanacak olaylarla ilgili çıkarım yapabilmemize olanak sağlar. Bayes Teoremi'nin üzerine inşa edilmiş, olasılık ilişkisi bulunan küme elemanlarının ilişkilerini modellemeye yarayan, belirsiz değerlerin ya da kararların grafiksel olarak gösterimini sağlayan, anlaşılması zor matematiksel ifadeleri ve denklemleri daha kolay incelenebilir hale getiren ağlardır.",materyal ve metot,background
29274,"Bilişim teknolojisinin etkin kullanımı ile ilgili yapılan araştırmalarda, sistem uyarlandıktan üç yıl sonra projenin durdurulması ya da beklenen getirilerin çok altında getiri getirmesi şeklinde ifade edilebilecek başarısızlıkların %60 oranında olduğu belirtilmektedir <CITE>. Uygulamacılara göre böyle yüksek başarısızlık oranlarının ilk sebebi; BT yatırımlarını değerlendirmek, önceliklendirmek, izlemek ve kontrol etmek için kullanılabilecek, kesin sonuçlar veren ve aynı zamanda da kullanımı kolay yönetim araçlarının kolay bulunamamasıdır.",giriş,background
37915,"Günümüze kadar emosyon tanımı çok kere yapılmış olup [REF], psikolojide emosyonlara deneyimsel ilgi ve modern teoride belirgin bir şekilde Amerikalı psikolog ve filozof William James'ın teorileri ile başlanmıştır [REF]. Bu tanımlamalar içinden emosyonların diğer öznel ve nesnel etkenler ile birarada nöronal ve hormonal sistemler aracılığı ile oluşan karmaşık etkileşimler olduğu kanaatine varmışlardır <CITE>. Emosyonel uyarılma alanında iki temel yaklaşım, kategorize etmeye çalışan ve boyutsal olarak sınıflandırmaya çalışan yaklaşımlardır.",giriş,background
49318,"Jaccard indeksi ve Dice katsayısı, modelin segmentasyon performansını ortaya koymak için en sık kullanılan değerlendirme metrikleridir. Jaccard indeksi (birleşim üzerinde kesişim, IoU olarak da bilinir), örnek kümelerinin birleşiminin boyutuna bölünen kesişim boyutu olarak tanımlanır ve Eşitlik (1)’deki gibi hesaplanır <CITE>.",yöntem,background
40026,"Bu aşama sonraki aşamaların yani örüntü analizi ve örüntü çıkarma gibi işlemlerin çok etkili ve kolayca yapılmasına imkan sağlar. Örüntü çıkarmaya yönelik en yaygın kullanılan özellikler web log dosyalarındaki zaman damgası, IP adresi, URL adresi ve User-agent bilgisidir <CITE>.",literatür incelemesi,background
