"citation_context",citation_intent
"Çalışmada kullanılan veri seti, Polonyalı şirketlere ilişkin finansal veriler taranarak oluşturulmuştur [31] Çalışmada kullanılan algoritmaların değerlendirilmesinde, doğru sınıflandırma yüzdesi, ortalama mutlak hata, ortalama karesel hatanın karekökü, kesinlik, geri çağırma ve F-ölçütü kullanılmıştır.",basis
"Ortalama mutlak hata ölçütü aşağıda belirtilen formüle göre hesaplanmaktadır [32] :",basis
"Kesinlik oranı, doğru pozitifin, doğru pozitif ve yanlış pozitif toplamına oranı ile geri çağırma ise, doğru pozitifin, doğru pozitif ve yanlış negatif toplamına oranı ile hesaplanmaktadır [34] .",basis
"F-ölçütü değeri, aşağıda belirtilen formüle göre belirlenmektedir [34] :",basis
"Meme dokusundaki süt kanalları veya bezlerinde gelişen [1] ve kadın nüfusunu etkileyen yaygın kanser tiplerinden bir tanesi olarak bilinen ve dünya genelinde her yıl 1.38 milyon yeni vakanın tahmin edildiği bir hastalıktır  .",background
"Ancak, düzensiz bir sınıra sahip kütle kanserli olabilir [3] .",background
"Özyinelemeli Özellik Elemesi (ÖÖE, Recursive Feature Elimination [4] ) ile özniteliklerin öneminin araştırıldığı ve sonrasında sırasıyla  'da tanıtımları yapılan Lojistik Regresyon (LR) ve Rastgele Orman (RO) sınıflandırıcı algoritmaları ile eğitim ve test aşamaları yürütülerek sınıflandırma sürecinin tamamlandığı bu çalışmada meme kanseri hastalığı için önemli olan özniteliklerin araştırması yapılmıştır.",basis
"Meme kanseri her yıl milyonlarca hastada sıklıkla görülen bir hastalıktır [7] .",background
"Powell ve ark [8] , Kaliforniya eyaleti Marin ilçesindeki yüksek oranda meme kanseri, nulliparite ve gecikmiş doğum bilgisi içeren kadın topluluğu verilerini kullanarak Breast Cancer Risk Assessment Tool  , BRCAPRO   ve International Breast Intervention Study   meme kanseri risk değerlendirme modellerini karşılaştırmışlardır.",discuss
"Al-Diab ve ark, sundukları çalışmada, Sudi Arabistandaki meme kanserinin tüm kanserli kadın hastaların içinde %19.8 bir orana sahip olduğunu ortaya koymuşlardır [12] .",background
"Hibrid bir çalışmayı içeren çalışmalarında %97 başarının elde edildiği optimize edilmiş yüksek performanslı bir tanı sistemi gerçekleştirmişlerdir [13] .",background
"Porto-Mascarenhas ve ark, tükürük biomarkerlarının meme kanserini karakterize etmekte yardımcı olabilecekleri düşüncesi doğrultusunda bu biomarkerların yeteneklerini değerlendirmek için gerçekleştirdikleri çalışmada, tükrük biomarkerlarının meme kanserinin erken evreden ziyade ileri aşamalarını tanımladıklarını görmüşlerdir [14] .",discuss
"Çalışmalarınd a, yalnızca başlangıçta kaygısı olmayan kadınlar üzerinde kimyasal tedavi ve bilişsel bozukluk arasındaki ilişikinin istatistiksel olarak önemli olduğunu ortaya koymuşlardır [15] .",discuss
"Peters ve ark, çalışmalarında özellikle erken evre yumurtalık kanseri teşhisi konan BRCA1/2 taşıyıcıları için düzenli meme kanseri verilerinin toplanmasını ve ilaç ve/veya profilaktik mastektomi yani iki memenin de ameliyatla alınması yöntemleri ile risk azaltmayı önermişlerdir [16] .",discuss
"Pudkasam ve ark, egzersiz programlarının meme kanserini iyileştiren yağ(adipozite) ve immünolojik belirteçler üzerindeki bilinen etkilerini araştırmışlardır [17] .",discuss
"Meme kanseri de dâhil olmak üzere katı tümörlerle ilişkili anjiyojenezde bu hücrelerden artmış sayıda vardır [18] .",background
"Almutlaq ve ark, yaş, ilk doğum yaşı, erken menarş, cinsiyet, beslenme faktörleri, tütün içilmesi, alkol tüketimi, düşük doz radyasyon, obezite, fiziksel aktivite, emzirme, hormonal, hormon replasman tedavisi, steroid hormon reseptörleri, mamografik yoğunluk, iyi huylu meme hastalığı ve genetik faktörlerini inceleyerek Suudi Arabistan'daki meme kanserine neden olan faktörleri araştırmışlardır [19] .",background
"Lukong, tüm dünyada ciddi bir sağlık sorunu olan bu hastalığın erken tanısı, tedavisi ve önlenmesi için daha fazla hedefin karakterize edildiği ve son derece yenilikçi yaklaşımların geliştirildiği daha özel tedavileri içeren çalışma üzerine yoğunlaşmışladır [20] .",background
"Coleman, yetkin klinik ve kendi kendine meme muayenesinin dikkatli bir kullanımı ile küçük tümörlerin tespitini ve morbiditenin azalmasını sağlayacağı yönünde bir çalışma sunmuştur [21] .",background
"Sayısal damgalama yöntemlerin telif haklarının korunması, kopyalama koruması, yayın izleme, veri doğrulama, veri gizleme, indeksleme, tıbbi güvenlik ve gizli iletişim gibi çok değişik uygulamaları vardır [1, .",background
"Bu işlemin nasıl yapılabileceği [2]’de oldukça kapsamlı bir şekilde ele alınmıştır.",background
"JPEG sıkıştırması için [4] 'de verilen kodlar kullanılmıştır.",basis
"Fourier dönüşümü (DFT), ayrık kosinüs dönüşümü (DCT) ve ayrık dalgacık dönüşümü (DWT)'dir [3] DWT JPEG 2000 standardında kullanıldığından burada sadece DFT ve DCT ele alınmıştır.",background
"İnsan gözünün bir görüntüdeki faz değişimlerine, genlik değişimlerine göre çok daha fazla duyarlı olduğu (insan kulağı için bunun tersi doğrudur, yani kulak genlikteki değişimlere fazdaki değişimlere göre daha duyarlıdır) literatürdeki araştırmalardan çok iyi bilinmektedir [3] .",background
"1972'deki OECD konferansının disiplinlerarasılık için beş itici güç belirlemesinden bu yana [1] , yükseköğretimdeki kurumsal yapıların disiplinlerarası araştırma ve eğitimin gelişmesinde çok önemli olduğu kabul edilmiştir.",background
"Disiplinlerarası çalışmalar, belirli disiplinler bağlamında eğitilmiş araştırmacılar için yalnızca bilişsel veya epistemolojik bir zorluk değil, aynı zamanda disiplinler arası faaliyetlerin geliştirildiği kurumlar için örgütsel bir zorluktur [2] .",background
"Üniversiteler, bu tür gelişmeler için özellikle ilginç bir ortamı temsil etmektedir; çünkü bu kurumlar aynı anda hem geleneğin koruyucuları hem de deney alanlarıdır [3] .",background
"Üniversite, disipliner bilginin üretildiği ve yeniden üretildiği geleneksel yer olduğundan, disiplinlerarasılık tartışılırken bu gerilim belirginleşir [4] .",background
"Öte yandan, yeni bilgi üretim yollarına izin verebilecek kavramsal ve organizasyonel yenilikler üretmek için yeterli özgürlüğe ve özerkliğe sahip bir yerdir [5] .",background
"Ancak, bu değişikliklere rehberlik edecek evrensel bir genel veya hazır model bulunmamaktadır [4] .",background
"Yine de bu işbirlikçi araştırma yaklaşımlarına içgörü sağlayan, ancak aynı zamanda hem epistemik hem de kurumsal düzeylerdeki zorlukları ve engelleri vurgulayan disiplinlerarasılık uygulamaları hakkında büyüyen bir literatür bulunmaktadır [6] .",background
"Disiplinlerarası çalışmalarda öğrenme ve uygulama döngüsü oldukça önemlidir [7] .",background
"Dinamik öğrenen organizasyon, hızla değişen ortamlara kolayca uyum sağlar; bir sürdürülebilirlik aracı olarak kendi geleceği için çözümler üretir [8] .",background
"Sürdürülebilir bir rekabet avantajı elde etmek için organizasyonlar, öğrenme yoluyla yenilikçi fikirler yaratarak sürekli değişiklikler ve organizasyonel stratejiler geliştirir [9] ,  .",background
"Bu nedenle yenilik için mevcut temel stratejilerden biri, fikir odaklı öğreten ve öğrenen organizasyonlardır [11] .",background
"Yeni fikirler, öğrenmenin sonuçlarından biri olabileceği gibi, öğrenme sürecinde kazanılan bilgi ve becerilerin işyerine aktarılmasıyla daha büyük fikirlere de aracı olabilir [14] ,  .",background
"Performansı artırmak için öğrenme sürecinde edinilen bilgi, beceri ve deneyimlerin işletmelere aktarılması gerekir [14] .",background
"Teknoloji transfer ofisleri ve teknokentler, tam da bu öğrenme döngüsünü sağlamak için hayata geçirilmiş organizasyonel yapılardır [16] .",background
"Teknoparkların en belirgin motivasyonu, üniversite ve şirketler arasındaki iş birliğinin geliştirilmesini teşvik etmesidir [17] .",background
"Daha ziyade, fikirlerin uygulama alanları olarak hayata geçirilmiştir [18] .",background
"Winks’in de ifade ettiği üzere yükseköğretimde yaratıcılığı teşvik eden ve ortaya çıkaran süreçler, kültürler ve öğrencilerin, öğretim üyelerinin disiplinler arasında ve kendi bölümleri içinde fikir geliştirme yolları hakkında yeterli öneri geliştirilmemiştir [19] .",background
"Buna ek olarak teknoloji transfer ofisleri ve teknokentler, fikirlerin uygulama alanları oldukları için, öğrenen organizasyon olma sürecinde fikir üretimine yönelik bizce en fazla yatırım yapılması gereken temel insan kaynağını, yani eğitim gören kitleyi ve akademisyenleri büyük oranda devre dışı bırakır [20] .",background
"Mevcut durumda, oluşan ihtiyaçlar ve sorunların çözümü için yenilikçi fikir üretimi konusunda akademisyenler, öğrenciler, sektörel aktörler ve toplum birbirlerinden kopuk olduğundan [21] , sistematik bir zeminde bir araya gelememektedir.",background
"Baptista ve arkadaşları, üç Latin Amerika üniversitesinde disiplinlerarası araştırma için kurumsal alanların yaratılmasına yönelik girişimlere odaklanmaktadır [4] .",background
"Lindvig çalışmasında, disiplinlerarası eğitim unsurlarının önceden var olan monodisipliner yapılar tarafından nasıl oluşturulduğu, desteklendiği ve hatta güçlendirildiğine ilişkin yolların haritasını çıkarmak için geleneksel fakülte yapılı bir üniversitede çeşitli disiplinlerarası eğitim çabalarının gelişimini incelemiştir [22] .",background
"Krallık Üniversitesi'ndeki eğitim uygulamalarında yenilik ve yaratıcılığın önündeki engelleri ve bu konudaki olanakları inceleyen bir çalışmada [19] , üniversite öğretim kadrosuna sunulan disiplinlerarası ortamların daha fazla kullanılmasının, yaratıcı uygulamayı ve akran öğrenimini artırmaya katkıda bulunabileceği ortaya konmuştur.",background
"Fakülteler ile sosyal ya da sektörel kurumların bir arada çalışmasına yönelik Groulx ve arkadaşları tarafından gerçekleştirilen farklı bir araştırmada, sürdürülebilirlik girişimleri oluşturmak için geçerli olan kapsamlı üniversite-toplum iş birlikleri kavramı incelenmiştir [23] .",background
"Barringer ve arkadaşları, bilim politikalarının onlarca yıldır disiplinlerarası araştırmayı teşvik etmesine rağmen üniversitelerin buna aynı şekilde karşılık verememesi konusundaki nedenleri açıklamak için, ülke çapındaki en iyi 156 araştırma üniversitesi için kapsamlı bir veri toplayarak, incelemelerde bulunmuştur [24] .",background
"Cavallone ve arkadaşları çalışmalarında, özel ve kamu sektörü kuruluşlarının değer beklentilerini ve bu kuruluşların ortak değer yaratımındaki potansiyel rollerini araştırmıştır [25] .",background
"Miller ve arkadaşlarının araştırması, disiplinlerarası bir araştırma ekibinin parçası olarak çalışan öğrenci deneyimlerine ilişkin bir vaka çalışması sunmaktadır [26] .",background
"Jaeger, çalışmasında yükseköğretimde disiplin, disiplinlerarasılık ve disiplinlerarasılığın çerçevelemesi ve bu çerçevelemenin Avrupa yükseköğretim müfredatı üzerindeki etkilerini araştırmıştır [27] .",background
"Belwal ve arkadaşları çalışmalarında proje tabanlı öğrenmenin, üniversite eğitimi ile gerçek yaşamı nasıl ilişkilendirebileceğini araştırmıştır [28] .",background
"Björklund ve arkadaşları çalışmalarında, yükseköğretimde işbirlikçi çabaları ilerletmenin önündeki temel kolaylaştırıcılara ve engellere ışık tutmak amacıyla Aalto Üniversitesi'nin yenilikçi platformlardan biri olan Tasarım Fabrikası Küresel Ağı'nı incelemiştir [29] Öğrencilerden, personelden ve eğitimcilerden gelen bakış açıları da dahil olmak üzere 17 Tasarım Fabrikası ile yapılan 25 derinlemesine görüşmeye dayanan bulgular, esnekliği teşvik eden kurumsal politikaların, fiziksel bir disiplinlerarası alanı, topluluk oluşturmayı ve bu konudaki üst düzey desteği güvence altına aldığını göstermektedir.",discuss
"Disiplinlerarası eğitim çalışmalarının sınırlarını genişletmek için disiplinlerötesilik (transdisciplinary) geleneğinden yararlanan farklı bir çalışma, gelecekte, üniversite eğitiminin duvarların çok ötesinde gerçekleşebileceği için, yeni bir bütünleşik öğrenme anlayışının önemine işaret eder [30] .",background
"Brandenburg ve arkadaşları, Avustralya'daki Federasyon Üniversitesi'nde disiplinler arası bir arası araştırma grubunun (üç ayrı okul) doğuşunu, gelişimini ve uygulamasını incelemiştir [32] .",background
"Mega projelerini, sürdürülebilir kalkınma ilkelerinin ve sistematik disiplinlerarasılığın "probleme dayalı öğrenmeye" entegre edilmesi için bir vaka çalışması gerçekleştirmiştir [30] .",background
"bir çalışma ortamına uyum sağlayabilen öğrenciler yetiştirmesine duyulan ihtiyaçtan hareket eden bir çalışmada, UNIS-X deneyimsel öğrenme pedagojisinin etkililiği incelenmiştir [33] .",background
"Hannon ve arkadaşları, disiplinler arası müfredat ve öğretimin, 1   disiplin temelli bir organizasyon yapısını simgeleyen bir Avustralya üniversitesinde nasıl anlaşıldığı, uygulandığı ve desteklendiğinin yanı sıra disiplin sınırlarını aşan öğretim uygulamalarını araştırmıştır [34] .",background
"Etiketlere ait veriler, adres olarak tutulmaktadır. Burada Her bir proje önerisinde, üst kurul tarafından belirlenen bir oranda öğrenci ve akademisyen bulunmak zorundadır.",other
"Bitcoin'in yanı sıra Ethereum gibi kripto para sistemlerinde kullanılmaktadır (Ouyang vd., 2021) .",background
"Ayrıca hesaplama gücü gerektirmediği ve yüksek işlem gücüne sahip olduğu için de Araçların İnterneti (IoV)’da da kullanılmaktadır (Nguyen vd., 2019) .",background
"Bu mutabakat protokolünün en dikkat çekici kısmı ise, kripto para birimi içermeyi gerektirmeyen çok çeşitli uygulamalar için, Proof of Work gibi kripto para birimi tabanlı mutabakat mekanizmalarına iyi bir alternatif olmasıdır (Song vd., 2021) .",background
"Haberleşme yöntemlerinin geliştirilmesiyle uzak mesafelerden bilgi alış verişi hızlı bir şekilde yapılabilmektedir [1, .",background
